Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig4.3_30_30158_30409,cce_0918,-0.04,0.13,-0.01,-0.06,-0.07,-0.06,0.03,0.06,0.03,-0.06,-0.1,-0.06
Contig4.3_31_30633_33326,cce_0920,-1.66,-0.41,0.08,0.35,0.31,-0.77,-1.98,-0.04,0.08,0.29,0.42,-0.74
Contig4.3_32_33833_34804,cce_0921,1.16,0.05,-0.36,-0.39,-0.69,-0.04,1.15,0.03,-0.35,-0.28,-0.59,-0.16
Contig4.3_33_36014_35004,cce_0922,0.07,-0.42,-0.12,0.11,-0.02,0.06,0.17,-0.27,-0.18,0.03,0.03,
Contig4.3_3_3124_5274,cce_0890,-0.36,-0.04,0.04,0.58,0.1,-0.09,-0.4,0.11,0.04,0.43,0.23,-0.07
Contig4.3_4_5547_7169,cce_0891,-0.22,-0.45,-0.16,-0.01,0.48,0.55,-0.23,-0.21,-0.16,0.04,0.42,0.61
Contig4.3_5_7262_7597,cce_0892,-0.98,-0.85,-0.02,0.38,0.28,-0.03,-1.01,-0.64,0.01,0.27,0.27,0.15
Contig4.3_7_8631_7861,cce_0894,-0.09,0.14,0.09,0.3,0.2,0.07,0.01,0.15,0.15,0.34,-0.02,0.01
Contig4.3_8_10144_8675,cce_0895,0.18,0.05,0.05,0.04,0.07,0.06,0.18,0.07,0.09,0.04,0.04,0.07
Contig4.3_9_10562_10224,cce_0896,-0.02,-0.65,-0.26,-0.09,0.32,0.36,-0.05,-0.45,-0.28,-0.05,0.2,0.34
Contig4.4_10_7649_7383,cce_0931,-0.03,-0.12,-0.02,0.06,0.2,0.1,-0.07,-0.04,-0.04,0.04,0.14,0.09
Contig4.4_14_9041_10432,cce_0935,-0.06,-0.3,-0.23,0.16,0.12,0.15,-0.06,-0.17,-0.19,0.17,0.13,0.13
Contig4.4_15_10590_11498,cce_0936,-0.06,-0.09,-0.05,0.39,0.12,-0.03,-0.04,-0.08,-0.03,0.16,-0.02,0.03
Contig4.4_16_11828_11550,cce_0937,0.12,-0.05,0.05,,-0.01,0.02,0.08,0.07,0.08,0.03,0.02,0.05
Contig4.4_17_12542_11895,cce_0938,-0.2,-0.14,-0.03,0.21,0.19,0.08,-0.25,0.02,-0.01,0.21,0.17,0.15
Contig4.4_18_13242_12547,cce_0939,0.04,-0.03,0.09,0.16,0.2,0.14,0.02,0.1,0.08,0.12,0.1,0.1
Contig4.4_19_13721_13266,cce_0940,-0.2,,,0.22,0.36,0.11,-0.17,0.03,0.08,0.28,0.16,0.19
Contig4.4_1_305_3,cce_0922,0.15,-0.49,-0.16,0.04,-0.19,-0.07,0.26,-0.53,0.04,-0.04,-0.14,-0.06
Contig4.4_21_13920_14813,cce_0942,-0.3,-0.1,-0.2,0.08,-0.06,-0.11,-0.26,-0.15,-0.16,0.01,-0.09,-0.13
Contig4.4_22_14858_15685,cce_0943,0.21,0.18,0.14,-0.03,,0.01,0.25,0.09,0.14,-0.08,0.01,-0.02
Contig4.4_23_15863_17143,cce_0944,-0.41,-0.24,-0.32,0.11,0.3,-0.09,-0.35,-0.11,-0.07,0.18,0.46,0.05
Contig4.4_24_17381_17872,cce_0945,0.33,-0.27,0.01,-0.52,,0.19,0.51,-0.16,0.09,-0.65,-0.37,-0.15
Contig4.4_25_17964_18755,cce_0946,0.31,-0.37,0.03,-0.35,0.27,0.22,0.36,-0.38,0.14,-0.33,-0.03,0.03
Contig4.4_26_19500_18922,cce_0947,0.12,0.04,0.1,0.01,0.07,0.08,0.11,0.06,0.13,,0.02,0.09
